Datetime,Open,High,Low,Close,Adj Close,Volume,ADX,+DI,-DI
2024-06-06 09:15:00,9548.5,9605.900390625,9470.349609375,9586.4501953125,9586.4501953125,24341,,,
2024-06-06 09:30:00,9589.5,9674.2001953125,9560.349609375,9662.4501953125,9662.4501953125,34096,,,
2024-06-06 09:45:00,9667.9501953125,9849.5,9660.099609375,9731.900390625,9731.900390625,59781,,,
2024-06-06 10:00:00,9725.099609375,9755.900390625,9701.400390625,9732.0,9732.0,19129,,,
2024-06-06 10:15:00,9732.2998046875,9740.0,9673.099609375,9713.4501953125,9713.4501953125,16792,,,
2024-06-06 10:30:00,9716.5,9729.650390625,9690.5498046875,9713.400390625,9713.400390625,10229,,,
2024-06-06 10:45:00,9713.349609375,9733.599609375,9674.0,9712.349609375,9712.349609375,10669,,,
2024-06-06 11:00:00,9716.0,9716.0,9675.0,9697.349609375,9697.349609375,7361,,,
2024-06-06 11:15:00,9695.349609375,9748.099609375,9691.7998046875,9702.5,9702.5,13079,,,
2024-06-06 11:30:00,9702.4501953125,9754.0,9700.0,9731.0498046875,9731.0498046875,11690,,,
2024-06-06 11:45:00,9722.0,9725.0,9601.7998046875,9710.9501953125,9710.9501953125,22285,,,
2024-06-06 12:00:00,9709.5,9714.0,9676.349609375,9685.0,9685.0,6563,,,
2024-06-06 12:15:00,9684.0,9714.5,9678.150390625,9714.5,9714.5,4454,,,
2024-06-06 12:30:00,9714.5,9714.5,9687.0,9694.4501953125,9694.4501953125,3277,,0.21428571428571427,0.5714285714285714
2024-06-06 12:45:00,9694.400390625,9719.0,9688.25,9718.7998046875,9718.7998046875,4915,,0.2857142857142857,0.5714285714285714
2024-06-06 13:00:00,9718.900390625,9718.900390625,9635.7998046875,9671.599609375,9671.599609375,10020,,0.2857142857142857,0.5
2024-06-06 13:15:00,9674.5,9738.0,9674.5,9723.0,9723.0,9995,,0.21428571428571427,0.5714285714285714
2024-06-06 13:30:00,9729.2001953125,9748.0,9723.0498046875,9738.0498046875,9738.0498046875,6441,,0.21428571428571427,0.5714285714285714
2024-06-06 13:45:00,9740.900390625,9747.650390625,9711.900390625,9747.599609375,9747.599609375,6191,,0.21428571428571427,0.5714285714285714
2024-06-06 14:00:00,9743.5498046875,9766.900390625,9738.2001953125,9759.0,9759.0,6900,,0.21428571428571427,0.5714285714285714
2024-06-06 14:15:00,9759.0,9759.0,9716.5,9724.0,9724.0,6662,,0.14285714285714285,0.5714285714285714
2024-06-06 14:30:00,9724.0,9732.0498046875,9691.0,9716.400390625,9716.400390625,7268,,0.14285714285714285,0.5
2024-06-06 14:45:00,9716.400390625,9729.900390625,9700.0,9700.0,9700.0,5449,,0.07142857142857142,0.5714285714285714
2024-06-06 15:00:00,9702.0498046875,9744.099609375,9702.0498046875,9743.7998046875,9743.7998046875,14830,,0.14285714285714285,0.5
2024-06-06 15:15:00,9743.75,9820.0,9740.0,9762.0,9762.0,41289,,0.21428571428571427,0.5
2024-06-07 09:15:00,9956.9501953125,10083.9501953125,9881.099609375,10073.099609375,10073.099609375,98477,,0.2857142857142857,0.42857142857142855
2024-06-07 09:30:00,10073.2001953125,10075.0,10005.0,10038.849609375,10038.849609375,57599,,0.2857142857142857,0.42857142857142855
2024-06-07 09:45:00,10038.9501953125,10047.900390625,9946.2998046875,10000.400390625,10000.400390625,43087,41.60173160173161,0.2857142857142857,0.35714285714285715
2024-06-07 10:00:00,9997.400390625,10001.349609375,9955.150390625,9991.5498046875,9991.5498046875,15456,41.6017316017316,0.21428571428571427,0.42857142857142855
2024-06-07 10:15:00,9986.0,10008.150390625,9961.0498046875,10000.0,10000.0,16241,41.082251082251084,0.2857142857142857,0.42857142857142855
2024-06-07 10:30:00,9996.0498046875,10016.9501953125,9981.0498046875,9995.0,9995.0,14846,39.264069264069256,0.2857142857142857,0.42857142857142855
2024-06-07 10:45:00,9995.0,10034.400390625,9992.0,10034.400390625,10034.400390625,13785,36.01731601731602,0.35714285714285715,0.35714285714285715
2024-06-07 11:00:00,10032.599609375,10033.0,9994.5,10000.099609375,10000.099609375,12284,33.41991341991342,0.35714285714285715,0.42857142857142855
2024-06-07 11:15:00,10000.0,10017.0,9993.099609375,10000.9501953125,10000.9501953125,10665,30.173160173160174,0.35714285714285715,0.35714285714285715
2024-06-07 11:30:00,10000.0,10030.0,9998.0,10022.75,10022.75,14467,26.536796536796537,0.42857142857142855,0.35714285714285715
2024-06-07 11:45:00,10025.400390625,10030.9501953125,10010.2001953125,10025.0,10025.0,10077,22.56854256854257,0.42857142857142855,0.42857142857142855
2024-06-07 12:00:00,10022.650390625,10062.5,10022.650390625,10046.599609375,10046.599609375,19983,18.203463203463205,0.5,0.35714285714285715
2024-06-07 12:15:00,10047.25,10047.9501953125,10001.0,10011.0,10011.0,19464,14.884559884559883,0.42857142857142855,0.35714285714285715
2024-06-07 12:30:00,10012.0,10042.0,10004.9501953125,10034.900390625,10034.900390625,8688,12.676767676767673,0.35714285714285715,0.42857142857142855
2024-06-07 12:45:00,10037.2001953125,10045.4501953125,10029.9501953125,10045.4501953125,10045.4501953125,6352,13.196248196248193,0.2857142857142857,0.5
2024-06-07 13:00:00,10044.9501953125,10070.0,10037.4501953125,10040.0,10040.0,22962,12.417027417027414,0.35714285714285715,0.42857142857142855
2024-06-07 13:15:00,10042.5,10049.0,10006.0,10028.25,10028.25,11872,12.27272727272727,0.35714285714285715,0.42857142857142855
2024-06-07 13:30:00,10022.650390625,10039.4501953125,10021.0,10038.0,10038.0,6458,10.541125541125538,0.35714285714285715,0.42857142857142855
2024-06-07 13:45:00,10038.0,10039.0,10021.0,10024.7001953125,10024.7001953125,7171,10.541125541125538,0.2857142857142857,0.42857142857142855
2024-06-07 14:00:00,10024.75,10035.0,10007.650390625,10014.0,10014.0,8391,9.906204906204904,0.2857142857142857,0.35714285714285715
2024-06-07 14:15:00,10013.2001953125,10015.0,9972.099609375,9975.099609375,9975.099609375,16074,11.691919191919188,0.21428571428571427,0.35714285714285715
2024-06-07 14:30:00,9977.4501953125,10000.0,9972.099609375,9992.650390625,9992.650390625,11495,12.062976705833846,0.21428571428571427,0.2857142857142857
2024-06-07 14:45:00,9990.0,9993.7001953125,9963.849609375,9979.2001953125,9979.2001953125,13068,13.083384869099152,0.21428571428571427,0.2857142857142857
2024-06-07 15:00:00,9980.400390625,9995.0,9963.4501953125,9970.0,9970.0,28524,13.454442383013811,0.21428571428571427,0.2857142857142857
2024-06-07 15:15:00,9970.0,10000.0,9963.5,9994.5,9994.5,27232,14.474850546279116,0.2857142857142857,0.21428571428571427
2024-06-10 09:15:00,10055.0,10225.349609375,10041.25,10205.0,10205.0,39219,14.30478251906823,0.2857142857142857,0.21428571428571427
2024-06-10 09:30:00,10205.0,10259.0498046875,10127.4501953125,10214.099609375,10214.099609375,54715,13.655431869717583,0.2857142857142857,0.2857142857142857
2024-06-10 09:45:00,10219.0,10225.0,10120.349609375,10194.7998046875,10194.7998046875,29108,14.02648938363224,0.2857142857142857,0.21428571428571427
2024-06-10 10:00:00,10191.599609375,10215.0,10164.4501953125,10203.400390625,10203.400390625,12598,13.0988455988456,0.2857142857142857,0.21428571428571427
2024-06-10 10:15:00,10206.0,10217.650390625,10171.4501953125,10179.400390625,10179.400390625,8942,13.469903112760255,0.21428571428571427,0.2857142857142857
2024-06-10 10:30:00,10175.400390625,10181.7998046875,10140.7998046875,10143.0,10143.0,11711,13.840960626674912,0.21428571428571427,0.2857142857142857
2024-06-10 10:45:00,10143.0,10155.75,10125.2001953125,10147.900390625,10147.900390625,12407,13.191609977324264,0.21428571428571427,0.21428571428571427
2024-06-10 11:00:00,10147.900390625,10149.0,10066.7001953125,10069.0498046875,10069.0498046875,21361,11.763038548752835,0.21428571428571427,0.21428571428571427
2024-06-10 11:15:00,10069.0498046875,10082.0,10027.0,10053.25,10053.25,19091,10.969387755102039,0.21428571428571427,0.21428571428571427
2024-06-10 11:30:00,10053.099609375,10107.0,10045.0,10101.5,10101.5,12689,10.204081632653061,0.2857142857142857,0.21428571428571427
2024-06-10 11:45:00,10101.5,10135.0,10101.5,10119.099609375,10119.099609375,13002,9.183673469387756,0.2857142857142857,0.2857142857142857
2024-06-10 12:00:00,10125.349609375,10134.0,10070.0,10077.5,10077.5,12355,8.16326530612245,0.2857142857142857,0.2857142857142857
2024-06-10 12:15:00,10077.4501953125,10120.849609375,10077.4501953125,10110.2001953125,10110.2001953125,4563,8.928571428571429,0.21428571428571427,0.35714285714285715
2024-06-10 12:30:00,10110.0498046875,10132.9501953125,10110.0,10128.7998046875,10128.7998046875,4663,11.479591836734695,0.14285714285714285,0.42857142857142855
2024-06-10 12:45:00,10125.650390625,10134.9501953125,10111.0,10126.0,10126.0,5240,14.030612244897961,0.14285714285714285,0.42857142857142855
