Buy Time,Buy Price,Win/Loss,Sell Time,Sell Price,Profit/Loss,Ticker
2024-06-28 13:15:00,597.7000122070312,Loss,2024-06-28 15:15:00,591.8499755859375,-5.85003662109375,SONATSOFTW.NS
2024-07-01 10:15:00,608.5,Win,2024-07-03 11:15:00,633.5999755859375,25.0999755859375,SONATSOFTW.NS
2024-07-04 10:15:00,645.0,Loss,2024-07-05 10:15:00,642.25,-2.75,SONATSOFTW.NS
2024-07-08 14:45:00,630.5999755859375,Win,2024-07-09 14:15:00,631.0999755859375,0.5,SONATSOFTW.NS
2024-07-12 11:00:00,639.5499877929688,,,,,SONATSOFTW.NS
2024-06-13 15:15:00,32.61000061035156,Win,2024-06-14 14:15:00,33.86000061035156,1.25,PROZONER.NS
2024-06-20 11:15:00,33.040000915527344,Loss,2024-06-21 09:15:00,32.970001220703125,-0.06999969482421875,PROZONER.NS
2024-06-24 10:15:00,32.84000015258789,Loss,2024-06-24 11:15:00,32.77000045776367,-0.06999969482421875,PROZONER.NS
2024-07-12 10:15:00,32.0099983215332,,,,,PROZONER.NS
2024-06-14 10:15:00,34.540000915527344,Loss,2024-06-14 12:15:00,34.31999969482422,-0.220001220703125,MUKKA.NS
2024-06-14 13:15:00,34.45000076293945,Loss,2024-06-14 14:15:00,34.31999969482422,-0.13000106811523438,MUKKA.NS
2024-06-18 11:15:00,34.400001525878906,Loss,2024-06-18 12:15:00,34.310001373291016,-0.09000015258789062,MUKKA.NS
2024-06-24 13:15:00,36.15999984741211,Loss,2024-06-25 11:15:00,35.93000030517578,-0.22999954223632812,MUKKA.NS
2024-06-26 11:15:00,35.54999923706055,Win,2024-06-27 13:15:00,35.959999084472656,0.4099998474121094,MUKKA.NS
2024-07-12 12:15:00,40.08000183105469,,,,,MUKKA.NS
2024-06-14 10:15:00,262.6499938964844,Loss,2024-06-14 13:15:00,259.6099853515625,-3.040008544921875,MEGASTAR.NS
2024-06-14 14:00:00,260.92999267578125,Loss,2024-06-18 12:15:00,258.4599914550781,-2.470001220703125,MEGASTAR.NS
2024-06-19 14:00:00,259.989990234375,Loss,2024-06-19 14:15:00,259.4800109863281,-0.509979248046875,MEGASTAR.NS
2024-06-28 11:15:00,246.86000061035156,Win,2024-07-02 14:15:00,251.3000030517578,4.44000244140625,MEGASTAR.NS
2024-07-02 14:30:00,251.9499969482422,Loss,2024-07-02 15:15:00,250.0500030517578,-1.899993896484375,MEGASTAR.NS
2024-07-03 10:30:00,253.5500030517578,Win,2024-07-05 11:15:00,261.1499938964844,7.5999908447265625,MEGASTAR.NS
2024-07-05 14:15:00,260.6499938964844,Loss,2024-07-08 11:15:00,257.1000061035156,-3.54998779296875,MEGASTAR.NS
2024-07-08 13:15:00,260.79998779296875,Win,2024-07-11 10:15:00,276.6499938964844,15.850006103515625,MEGASTAR.NS
2024-07-11 10:45:00,278.6000061035156,Loss,2024-07-11 12:15:00,278.0,-0.600006103515625,MEGASTAR.NS
2024-07-11 14:15:00,279.79998779296875,,,,,MEGASTAR.NS
2024-06-18 11:00:00,318.70001220703125,Loss,2024-06-18 12:15:00,313.25,-5.45001220703125,ITI.NS
2024-06-20 10:15:00,309.70001220703125,Loss,2024-06-20 13:15:00,308.25,-1.45001220703125,ITI.NS
2024-06-24 10:15:00,307.54998779296875,Win,2024-06-24 14:15:00,313.20001220703125,5.6500244140625,ITI.NS
2024-06-25 10:45:00,312.95001220703125,Loss,2024-06-25 11:15:00,310.1499938964844,-2.800018310546875,ITI.NS
