Time,Price,Type
2024-06-13 10:15:00,2437.25,Sell
2024-06-13 13:30:00,2450.39990234375,Buy
2024-06-13 15:00:00,2460.85009765625,Buy
2024-06-14 09:30:00,2516.64990234375,Buy
2024-06-14 09:45:00,2521.550048828125,Buy
2024-06-14 12:15:00,2479.0,Sell
2024-06-14 13:15:00,2481.0,Sell
2024-06-14 14:15:00,2469.10009765625,Sell
2024-06-14 15:15:00,2467.050048828125,Sell
2024-06-18 10:15:00,2460.0,Sell
2024-06-18 11:15:00,2458.800048828125,Sell
2024-06-18 12:15:00,2456.050048828125,Sell
2024-06-18 13:15:00,2451.25,Sell
2024-06-19 10:15:00,2415.800048828125,Sell
2024-06-20 11:30:00,2460.199951171875,Buy
2024-06-20 11:45:00,2460.5,Buy
2024-06-20 12:00:00,2461.199951171875,Buy
2024-06-20 12:45:00,2466.050048828125,Buy
2024-06-20 13:00:00,2467.0,Buy
2024-06-20 13:30:00,2482.949951171875,Buy
2024-06-20 13:45:00,2487.800048828125,Buy
2024-06-20 14:00:00,2497.949951171875,Buy
2024-06-20 14:15:00,2498.5,Buy
2024-06-20 14:30:00,2501.449951171875,Buy
2024-06-20 15:15:00,2502.0,Buy
2024-06-21 10:15:00,2477.85009765625,Sell
2024-06-21 12:15:00,2471.60009765625,Sell
2024-06-24 10:30:00,2483.449951171875,Buy
2024-06-24 10:45:00,2480.199951171875,Buy
2024-06-24 11:15:00,2485.0,Buy
2024-06-24 11:30:00,2493.800048828125,Buy
2024-06-24 11:45:00,2489.10009765625,Buy
2024-06-24 12:30:00,2492.89990234375,Buy
2024-06-24 12:45:00,2496.5,Buy
2024-06-24 13:30:00,2504.050048828125,Buy
2024-06-24 13:45:00,2503.699951171875,Buy
2024-06-24 14:00:00,2510.0,Buy
2024-06-24 14:15:00,2511.25,Buy
2024-06-24 14:30:00,2513.949951171875,Buy
2024-06-25 10:15:00,2517.35009765625,Buy
2024-06-25 11:45:00,2524.199951171875,Buy
2024-06-25 12:00:00,2520.199951171875,Buy
2024-06-26 09:45:00,2549.0,Buy
2024-06-26 10:00:00,2563.85009765625,Buy
2024-06-26 11:15:00,2530.300048828125,Sell
2024-06-26 12:15:00,2530.050048828125,Buy
2024-06-26 13:45:00,2541.050048828125,Buy
2024-06-26 15:00:00,2552.699951171875,Buy
2024-06-26 15:15:00,2557.89990234375,Buy
2024-06-27 09:30:00,2621.949951171875,Buy
2024-06-27 09:45:00,2632.64990234375,Buy
2024-06-27 10:00:00,2628.050048828125,Buy
2024-06-27 10:15:00,2636.0,Buy
2024-06-27 12:15:00,2623.14990234375,Buy
2024-06-27 12:30:00,2625.85009765625,Buy
2024-06-27 12:45:00,2623.800048828125,Buy
2024-06-27 13:00:00,2625.75,Buy
2024-06-27 13:15:00,2626.10009765625,Buy
2024-06-27 13:45:00,2632.60009765625,Buy
2024-06-27 14:45:00,2652.800048828125,Buy
2024-06-28 10:15:00,2611.25,Buy
2024-06-28 10:30:00,2615.60009765625,Buy
2024-06-28 10:45:00,2623.39990234375,Buy
2024-06-28 11:00:00,2632.800048828125,Buy
2024-06-28 11:15:00,2632.699951171875,Buy
2024-06-28 11:30:00,2640.39990234375,Buy
2024-06-28 11:45:00,2638.60009765625,Buy
2024-06-28 12:45:00,2657.10009765625,Buy
2024-06-28 13:00:00,2660.0,Buy
2024-06-28 13:15:00,2660.5,Buy
2024-06-28 13:45:00,2669.699951171875,Buy
2024-06-28 14:00:00,2668.949951171875,Buy
2024-06-28 15:00:00,2668.60009765625,Buy
2024-07-01 10:15:00,2716.0,Buy
2024-07-01 13:15:00,2710.0,Buy
2024-07-01 13:30:00,2714.85009765625,Buy
2024-07-01 13:45:00,2720.0,Buy
2024-07-01 14:00:00,2721.5,Buy
2024-07-01 14:15:00,2729.800048828125,Buy
2024-07-01 14:30:00,2739.0,Buy
2024-07-01 14:45:00,2733.5,Buy
2024-07-02 09:30:00,2744.800048828125,Buy
2024-07-02 09:45:00,2746.10009765625,Buy
2024-07-02 10:15:00,2755.0,Buy
2024-07-02 10:30:00,2751.800048828125,Buy
2024-07-02 14:30:00,2753.64990234375,Buy
2024-07-02 14:45:00,2752.5,Buy
2024-07-03 09:45:00,2756.64990234375,Buy
2024-07-03 14:15:00,2742.39990234375,Sell
2024-07-04 10:15:00,2718.550048828125,Sell
2024-07-04 12:15:00,2745.0,Buy
2024-07-04 13:15:00,2735.300048828125,Sell
2024-07-05 10:30:00,2737.199951171875,Buy
2024-07-05 11:30:00,2737.64990234375,Buy
2024-07-05 12:00:00,2748.0,Buy
2024-07-05 12:15:00,2748.0,Buy
2024-07-05 12:45:00,2748.75,Buy
2024-07-05 13:00:00,2754.800048828125,Buy
2024-07-05 13:30:00,2753.0,Buy
2024-07-05 15:15:00,2752.0,Buy
2024-07-08 10:15:00,2742.0,Buy
2024-07-08 10:15:00,2742.0,Sell
2024-07-08 11:15:00,2728.89990234375,Sell
2024-07-08 12:15:00,2728.60009765625,Sell
2024-07-08 15:00:00,2740.050048828125,Buy
2024-07-08 15:15:00,2738.300048828125,Buy
2024-07-09 14:00:00,2736.25,Buy
2024-07-09 14:45:00,2745.199951171875,Buy
2024-07-09 15:00:00,2750.64990234375,Buy
2024-07-09 15:15:00,2785.0,Buy
2024-07-10 11:30:00,2788.199951171875,Buy
2024-07-10 11:45:00,2790.199951171875,Buy
2024-07-10 12:00:00,2787.89990234375,Buy
2024-07-10 12:45:00,2795.550048828125,Buy
2024-07-10 13:00:00,2793.35009765625,Buy
2024-07-10 14:30:00,2800.199951171875,Buy
2024-07-10 14:45:00,2797.10009765625,Buy
2024-07-10 15:00:00,2804.10009765625,Buy
2024-07-11 09:30:00,2824.300048828125,Buy
2024-07-11 11:30:00,2829.14990234375,Buy
2024-07-11 13:15:00,2795.800048828125,Sell
2024-07-12 10:00:00,2816.050048828125,Buy
2024-07-12 10:15:00,2825.0,Buy
2024-07-12 10:30:00,2826.60009765625,Buy
2024-07-12 10:45:00,2839.85009765625,Buy
2024-07-12 11:00:00,2838.949951171875,Buy
2024-07-12 11:15:00,2835.85009765625,Buy
2024-07-12 13:30:00,2840.199951171875,Buy
2024-07-12 14:00:00,2841.14990234375,Buy
