train/learning_rate,train/value_loss,time/iterations,train/reward,train/entropy_loss,train/policy_loss,time/total_timesteps,train/std,train/explained_variance,train/n_updates,time/fps,time/time_elapsed
0.0007,2.987416982650757,8900,0.061924435,-42.649871826171875,65.66996002197266,44500,1.0558056831359863,0.0,8899,125,355
0.0007,2.859286308288574,9000,-0.61575645,-42.737606048583984,25.933460235595703,45000,1.058830976486206,0.0,8999,125,359
0.0007,0.3354983329772949,9100,3.3663268,-42.764503479003906,-20.177120208740234,45500,1.0600473880767822,0.0,9099,125,363
0.0007,1.5129581689834595,9200,1.6150646,-42.75391387939453,12.99841594696045,46000,1.0596572160720825,0.0003706216812133789,9199,125,367
0.0007,8.457422256469727,9300,0.67017376,-42.701107025146484,-104.96708679199219,46500,1.0581889152526855,0.0,9299,125,371
0.0007,12.970088005065918,9400,-0.1958206,-42.746063232421875,140.82412719726562,47000,1.0593898296356201,0.0,9399,124,376
0.0007,9.814972877502441,9500,-0.045966405,-42.79758834838867,125.26068115234375,47500,1.0618174076080322,0.0,9499,124,380
0.0007,11.446019172668457,9600,0.068484396,-42.76996612548828,-139.97451782226562,48000,1.0604960918426514,0.2793467044830322,9599,124,384
0.0007,1.7446752786636353,9700,0.5577932,-42.79921340942383,12.57768440246582,48500,1.0616124868392944,1.1920928955078125e-07,9699,124,388
0.0007,9.649587631225586,9800,6.5101986,-42.86500930786133,35.55913543701172,49000,1.063868761062622,0.0,9799,124,392
0.0007,0.11773856729269028,9900,-0.013546285,-42.87883377075195,4.254091739654541,49500,1.0646445751190186,0.0,9899,125,395
0.0007,0.7218227982521057,10000,-0.9065118,-42.87715148925781,0.5440637469291687,50000,1.0646065473556519,0.0,9999,125,399
