Open,High,Low,Close,Adj Close,Volume,Ticker
0.5433018803596497,0.5433018803596497,0.5433018803596497,0.5433018803596497,0.5433018803596497,0,ID21846-USD
0.5335480570793152,0.5335480570793152,0.5335480570793152,0.5335480570793152,0.5335480570793152,6209920,ID21846-USD
0.5371853709220886,0.5371853709220886,0.5371853709220886,0.5371853709220886,0.5371853709220886,5150016,ID21846-USD
0.5411967635154724,0.5411967635154724,0.5411967635154724,0.5411967635154724,0.5411967635154724,4733760,ID21846-USD
0.5408774614334106,0.5408774614334106,0.5408774614334106,0.5408774614334106,0.5408774614334106,5350656,ID21846-USD
0.5545067191123962,0.5545067191123962,0.5545067191123962,0.5545067191123962,0.5545067191123962,5254656,ID21846-USD
0.5509995222091675,0.5509995222091675,0.5509995222091675,0.5509995222091675,0.5509995222091675,4719808,ID21846-USD
0.5400527119636536,0.5400527119636536,0.5400527119636536,0.5400527119636536,0.5400527119636536,4052096,ID21846-USD
0.5367888808250427,0.5367888808250427,0.5367888808250427,0.5367888808250427,0.5367888808250427,1553728,ID21846-USD
0.5375803112983704,0.5375803112983704,0.5375803112983704,0.5375803112983704,0.5375803112983704,2520896,ID21846-USD
0.5228643417358398,0.5228643417358398,0.5228643417358398,0.5228643417358398,0.5228643417358398,4355008,ID21846-USD
0.5163907408714294,0.5163907408714294,0.5163907408714294,0.5163907408714294,0.5163907408714294,6307904,ID21846-USD
0.523631751537323,0.523631751537323,0.523631751537323,0.523631751537323,0.523631751537323,3260096,ID21846-USD
0.5310221910476685,0.5310221910476685,0.5310221910476685,0.5310221910476685,0.5310221910476685,4133952,ID21846-USD
0.5291392803192139,0.5291392803192139,0.5291392803192139,0.5291392803192139,0.5291392803192139,1692800,ID21846-USD
0.5359241962432861,0.5359241962432861,0.5359241962432861,0.5359241962432861,0.5359241962432861,2789632,ID21846-USD
0.5350536704063416,0.5350536704063416,0.5350536704063416,0.5350536704063416,0.5350536704063416,3482816,ID21846-USD
0.5355067849159241,0.5355067849159241,0.5355067849159241,0.5355067849159241,0.5355067849159241,1894592,ID21846-USD
0.5383679270744324,0.5383679270744324,0.5383679270744324,0.5383679270744324,0.5383679270744324,3856128,ID21846-USD
0.5389126539230347,0.5389126539230347,0.5389126539230347,0.5389126539230347,0.5389126539230347,3309696,ID21846-USD
0.5356623530387878,0.5356623530387878,0.5356623530387878,0.5356623530387878,0.5356623530387878,4526720,ID21846-USD
0.524468719959259,0.524468719959259,0.524468719959259,0.524468719959259,0.524468719959259,1934720,ID21846-USD
0.5218570232391357,0.5218570232391357,0.5218570232391357,0.5218570232391357,0.5218570232391357,2702720,ID21846-USD
0.5153536200523376,0.5153536200523376,0.5153536200523376,0.5153536200523376,0.5153536200523376,2786432,ID21846-USD
0.5196482539176941,0.5196482539176941,0.5196482539176941,0.5196482539176941,0.5196482539176941,2881728,ID21846-USD
0.5208436250686646,0.5208436250686646,0.5208436250686646,0.5208436250686646,0.5208436250686646,1632832,ID21846-USD
0.5169385075569153,0.5169385075569153,0.5169385075569153,0.5169385075569153,0.5169385075569153,2939904,ID21846-USD
0.5109190940856934,0.5109190940856934,0.5109190940856934,0.5109190940856934,0.5109190940856934,1733184,ID21846-USD
0.5019589066505432,0.5019589066505432,0.5019589066505432,0.5019589066505432,0.5019589066505432,5560064,ID21846-USD
0.5014574527740479,0.5014574527740479,0.5014574527740479,0.5014574527740479,0.5014574527740479,3139200,ID21846-USD
0.493766188621521,0.493766188621521,0.493766188621521,0.493766188621521,0.493766188621521,3532032,ID21846-USD
0.4955102801322937,0.4955102801322937,0.4955102801322937,0.4955102801322937,0.4955102801322937,3165056,ID21846-USD
0.5006977915763855,0.5006977915763855,0.5006977915763855,0.5006977915763855,0.5006977915763855,1780928,ID21846-USD
0.5027073621749878,0.5027073621749878,0.5027073621749878,0.5027073621749878,0.5027073621749878,2154688,ID21846-USD
0.5048668384552002,0.5048668384552002,0.5048668384552002,0.5048668384552002,0.5048668384552002,2787264,ID21846-USD
0.5050411224365234,0.5050411224365234,0.5050411224365234,0.5050411224365234,0.5050411224365234,1418560,ID21846-USD
0.5123417973518372,0.5123417973518372,0.5123417973518372,0.5123417973518372,0.5123417973518372,3329536,ID21846-USD
0.512740433216095,0.512740433216095,0.512740433216095,0.512740433216095,0.512740433216095,826240,ID21846-USD
0.5151992440223694,0.5151992440223694,0.5151992440223694,0.5151992440223694,0.5151992440223694,2502912,ID21846-USD
0.5051082372665405,0.5051082372665405,0.5051082372665405,0.5051082372665405,0.5051082372665405,1254464,ID21846-USD
0.4988887906074524,0.4988887906074524,0.4988887906074524,0.4988887906074524,0.4988887906074524,2734528,ID21846-USD
0.4898136258125305,0.4898136258125305,0.4898136258125305,0.4898136258125305,0.4898136258125305,3481408,ID21846-USD
0.48791342973709106,0.48791342973709106,0.48791342973709106,0.48791342973709106,0.48791342973709106,2659456,ID21846-USD
0.48864883184432983,0.48864883184432983,0.48864883184432983,0.48864883184432983,0.48864883184432983,2575616,ID21846-USD
0.48819196224212646,0.48819196224212646,0.48819196224212646,0.48819196224212646,0.48819196224212646,1411200,ID21846-USD
0.493862509727478,0.493862509727478,0.493862509727478,0.493862509727478,0.493862509727478,2136768,ID21846-USD
0.4935590326786041,0.4935590326786041,0.4935590326786041,0.4935590326786041,0.4935590326786041,1076288,ID21846-USD
0.4966018497943878,0.4966018497943878,0.4966018497943878,0.4966018497943878,0.4966018497943878,1401664,ID21846-USD
0.49445265531539917,0.49445265531539917,0.49445265531539917,0.49445265531539917,0.49445265531539917,348352,ID21846-USD
