Datetime,Open,High,Low,Close,Adj Close,Volume,Ticker
2023-02-25 00:00:00+00:00,23197.087890625,23197.087890625,23195.015625,23195.015625,23195.015625,0,BTC-USD
2023-02-25 00:05:00+00:00,23195.197265625,23196.71875,23193.962890625,23193.962890625,23193.962890625,0,BTC-USD
2023-02-25 00:10:00+00:00,23198.62109375,23198.62109375,23189.416015625,23189.416015625,23189.416015625,0,BTC-USD
2023-02-25 00:15:00+00:00,23191.462890625,23196.798828125,23188.931640625,23196.798828125,23196.798828125,0,BTC-USD
2023-02-25 00:20:00+00:00,23196.94921875,23196.94921875,23186.04296875,23186.04296875,23186.04296875,0,BTC-USD
2023-02-25 00:25:00+00:00,23184.18359375,23201.943359375,23184.18359375,23201.943359375,23201.943359375,0,BTC-USD
2023-02-25 00:30:00+00:00,23204.673828125,23210.2109375,23202.169921875,23202.169921875,23202.169921875,11868160,BTC-USD
2023-02-25 00:35:00+00:00,23185.935546875,23185.935546875,23174.982421875,23174.982421875,23174.982421875,0,BTC-USD
2023-02-25 00:40:00+00:00,23174.419921875,23174.630859375,23161.55859375,23161.55859375,23161.55859375,1748992,BTC-USD
2023-02-25 00:45:00+00:00,23160.982421875,23161.720703125,23152.423828125,23161.720703125,23161.720703125,4272128,BTC-USD
2023-02-25 00:50:00+00:00,23154.1953125,23162.046875,23154.1953125,23162.046875,23162.046875,13273088,BTC-USD
2023-02-25 00:55:00+00:00,23163.267578125,23165.3203125,23163.267578125,23165.3203125,23165.3203125,12511232,BTC-USD
2023-02-25 01:00:00+00:00,23167.6875,23171.44921875,23167.6875,23170.85546875,23170.85546875,0,BTC-USD
2023-02-25 01:05:00+00:00,23163.009765625,23163.009765625,23159.4765625,23162.205078125,23162.205078125,0,BTC-USD
2023-02-25 01:10:00+00:00,23169.44921875,23185.728515625,23169.44921875,23185.728515625,23185.728515625,0,BTC-USD
2023-02-25 01:15:00+00:00,23187.884765625,23193.857421875,23182.642578125,23182.642578125,23182.642578125,0,BTC-USD
2023-02-25 01:20:00+00:00,23188.236328125,23192.248046875,23188.236328125,23190.82421875,23190.82421875,0,BTC-USD
2023-02-25 01:25:00+00:00,23184.546875,23184.546875,23168.759765625,23168.759765625,23168.759765625,0,BTC-USD
2023-02-25 01:30:00+00:00,23173.19921875,23179.1640625,23173.19921875,23179.1640625,23179.1640625,0,BTC-USD
2023-02-25 01:35:00+00:00,23190.5546875,23190.5546875,23188.158203125,23190.240234375,23190.240234375,0,BTC-USD
2023-02-25 01:40:00+00:00,23196.330078125,23196.330078125,23189.25390625,23189.25390625,23189.25390625,0,BTC-USD
2023-02-25 01:45:00+00:00,23188.39453125,23189.251953125,23186.892578125,23186.892578125,23186.892578125,0,BTC-USD
2023-02-25 01:50:00+00:00,23190.009765625,23200.998046875,23190.009765625,23200.998046875,23200.998046875,0,BTC-USD
2023-02-25 01:55:00+00:00,23206.890625,23206.890625,23204.515625,23204.515625,23204.515625,0,BTC-USD
2023-02-25 02:00:00+00:00,23199.0546875,23201.705078125,23195.025390625,23201.705078125,23201.705078125,0,BTC-USD
2023-02-25 02:05:00+00:00,23201.51953125,23201.51953125,23198.208984375,23198.58203125,23198.58203125,0,BTC-USD
2023-02-25 02:10:00+00:00,23199.0234375,23207.302734375,23198.078125,23198.078125,23198.078125,0,BTC-USD
2023-02-25 02:15:00+00:00,23196.873046875,23196.873046875,23183.47265625,23183.47265625,23183.47265625,0,BTC-USD
2023-02-25 02:20:00+00:00,23182.59375,23182.59375,23177.021484375,23177.021484375,23177.021484375,0,BTC-USD
2023-02-25 02:25:00+00:00,23172.51953125,23172.51953125,23148.935546875,23148.935546875,23148.935546875,2121728,BTC-USD
2023-02-25 02:30:00+00:00,23147.462890625,23152.986328125,23147.462890625,23149.98828125,23149.98828125,20594688,BTC-USD
2023-02-25 02:35:00+00:00,23140.603515625,23140.603515625,23124.833984375,23124.833984375,23124.833984375,0,BTC-USD
2023-02-25 02:40:00+00:00,23119.61328125,23119.61328125,23118.21875,23118.21875,23118.21875,23961600,BTC-USD
2023-02-25 02:45:00+00:00,23115.822265625,23116.49609375,23110.666015625,23110.666015625,23110.666015625,19050496,BTC-USD
2023-02-25 02:50:00+00:00,23098.52734375,23110.681640625,23098.12109375,23110.681640625,23110.681640625,0,BTC-USD
2023-02-25 02:55:00+00:00,23122.748046875,23122.748046875,23104.314453125,23104.314453125,23104.314453125,5279744,BTC-USD
2023-02-25 03:00:00+00:00,23106.859375,23107.7578125,23105.806640625,23106.275390625,23106.275390625,0,BTC-USD
2023-02-25 03:05:00+00:00,23104.28125,23104.28125,23097.67578125,23100.466796875,23100.466796875,0,BTC-USD
2023-02-25 03:10:00+00:00,23096.439453125,23105.2890625,23096.439453125,23105.2890625,23105.2890625,23570432,BTC-USD
2023-02-25 03:15:00+00:00,23109.671875,23127.984375,23109.671875,23127.984375,23127.984375,16246784,BTC-USD
2023-02-25 03:20:00+00:00,23128.8515625,23128.8515625,23122.529296875,23122.529296875,23122.529296875,3878912,BTC-USD
2023-02-25 03:25:00+00:00,23118.736328125,23119.271484375,23115.953125,23115.953125,23115.953125,0,BTC-USD
2023-02-25 03:30:00+00:00,23116.1640625,23118.498046875,23110.693359375,23110.693359375,23110.693359375,0,BTC-USD
2023-02-25 03:35:00+00:00,23113.12109375,23113.12109375,23112.255859375,23112.431640625,23112.431640625,4337664,BTC-USD
2023-02-25 03:40:00+00:00,23116.970703125,23128.78515625,23116.970703125,23127.4296875,23127.4296875,4296704,BTC-USD
2023-02-25 03:45:00+00:00,23126.10546875,23126.10546875,23118.85546875,23118.85546875,23118.85546875,0,BTC-USD
2023-02-25 03:50:00+00:00,23126.5234375,23126.5234375,23119.267578125,23119.267578125,23119.267578125,20121600,BTC-USD
2023-02-25 03:55:00+00:00,23111.796875,23116.912109375,23108.359375,23108.359375,23108.359375,8435712,BTC-USD
2023-02-25 04:00:00+00:00,23097.666015625,23102.4375,23097.666015625,23102.4375,23102.4375,0,BTC-USD
2023-02-25 04:05:00+00:00,23101.103515625,23101.103515625,23093.482421875,23093.482421875,23093.482421875,235520,BTC-USD
2023-02-25 04:10:00+00:00,23086.5,23088.091796875,23084.15234375,23088.091796875,23088.091796875,2379776,BTC-USD
2023-02-25 04:15:00+00:00,23089.509765625,23101.326171875,23089.509765625,23101.326171875,23101.326171875,18569216,BTC-USD
2023-02-25 04:20:00+00:00,23091.921875,23091.921875,23082.904296875,23084.59765625,23084.59765625,0,BTC-USD
2023-02-25 04:25:00+00:00,23089.52734375,23094.345703125,23089.240234375,23094.345703125,23094.345703125,2002944,BTC-USD
2023-02-25 04:30:00+00:00,23093.376953125,23099.255859375,23088.6015625,23099.255859375,23099.255859375,4419584,BTC-USD
2023-02-25 04:35:00+00:00,23104.18359375,23113.037109375,23104.18359375,23111.736328125,23111.736328125,21628928,BTC-USD
2023-02-25 04:40:00+00:00,23112.607421875,23120.41796875,23112.607421875,23118.537109375,23118.537109375,15503360,BTC-USD
