,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2020-07-01,AAPL,91.27999877929688,91.83999633789062,90.97750091552734,89.49456787109375,110737200.0,2.0,3.000853559073505,92.27653448567072,79.81426370158515,62.80713009189181,107.49908831293466,29.73053178324967,83.55096104939778,77.36308860778809,28.6200008392334,53.06821004676369
0,2020-07-01,AMGN,235.52000427246094,256.2300109863281,232.5800018310547,234.6143341064453,6575800.0,2.0,3.552511419454703,227.03670775382363,195.59463227303183,61.27963660950974,270.84917977135825,46.80613855018442,209.90251617431642,210.9507698059082,28.6200008392334,53.06821004676369
0,2020-07-01,AXP,95.25,96.95999908447266,93.63999938964844,90.74229431152344,3301000.0,2.0,-0.38348217573309284,108.81221037953884,86.47841309458227,48.50481316989361,-66.29863651717874,3.142447593063416,95.82526931762695,89.37174682617187,28.6200008392334,53.06821004676369
0,2020-07-01,BA,185.8800048828125,190.61000061035156,180.0399932861328,180.32000732421875,49036700.0,2.0,5.443193477566751,220.72113910562072,160.93286327475036,50.92577107850355,24.220608346258853,15.932919876883018,176.4723347981771,155.6141675313314,28.6200008392334,53.06821004676369
0,2020-07-01,CAT,129.3800048828125,129.39999389648438,125.87999725341797,117.8162841796875,2807800.0,2.0,1.2427223398708236,127.55455613726821,110.68927702313218,52.865426813825124,35.72110135627866,14.457404372847105,116.60658365885416,110.97592862447102,28.6200008392334,53.06821004676369
0,2020-07-01,CRM,188.10000610351562,192.82000732421875,187.4600067138672,191.88999938964844,4754600.0,2.0,4.192261923312401,195.07168718044136,169.0393128805938,58.104314301452995,139.95268558042542,29.22574697896621,180.1913335164388,170.94849955240886,28.6200008392334,53.06821004676369
0,2020-07-01,CSCO,46.540000915527344,46.720001220703125,46.0,41.99992370605469,17129500.0,2.0,0.26311727995425116,44.15930880807253,39.90802250601438,53.16054089906579,19.256026980852774,13.380576374222514,41.98381678263346,40.275460688273114,28.6200008392334,53.06821004676369
0,2020-07-01,CVX,89.27999877929688,90.7699966430664,87.55000305175781,77.3864974975586,6379400.0,2.0,-1.01403329319146,90.40518544720365,73.11420008136079,47.82917563930007,-92.50551387666059,9.086242134949151,81.87848485310873,79.3720095316569,28.6200008392334,53.06821004676369
0,2020-07-01,DIS,112.81999969482422,115.5999984741211,112.29000091552734,113.01000213623047,11930900.0,2.0,-0.9699612124205572,127.25114297567954,106.44485693276773,49.235692276689186,-76.95780232579062,1.5594677137092365,117.63199971516927,111.37916641235351,28.6200008392334,53.06821004676369
0,2020-07-01,GS,198.8800048828125,199.74000549316406,195.52000427246094,185.683349609375,2620100.0,2.0,0.582271132701436,209.19748771153678,176.11728279627573,50.962762579417095,-35.68488906272156,3.6210869345612693,189.6029479980469,178.30394541422527,28.6200008392334,53.06821004676369
0,2020-07-01,HD,249.64999389648438,250.3300018310547,246.92999267578125,232.89727783203125,3677300.0,2.0,2.2321022748940322,242.57952175268912,223.73502292504526,55.50968267306273,20.593614373253978,8.254305556136103,231.84505818684895,217.23226267496744,28.6200008392334,53.06821004676369
0,2020-07-01,HON,145.22000122070312,146.47999572753906,142.97000122070312,136.66879272460938,2609500.0,2.0,-0.31191448042508796,153.60563319070963,126.99739110128256,49.99253973402869,-33.517351558854656,2.7678061866029067,139.2998825073242,133.3961934407552,28.6200008392334,53.06821004676369
0,2020-07-01,IBM,114.98088073730469,115.8986587524414,113.16443634033203,98.80728912353516,4869967.0,2.0,-1.0552349919004058,112.09178117993146,93.63473935839862,47.48972258370439,-74.3977573550631,5.476160686110964,102.90493698120117,101.44244626363118,28.6200008392334,53.06821004676369
