date,AAPL,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-02-08,-25,23,71,-78,-19,100,0,100,100,100,100,0,-100,100,-100,-40,45,54,-100,-42,-2,0,45,57,-82,19,26,22
2022-02-09,100,-100,-71,-24,85,96,0,61,-41,-100,53,11,-100,100,47,93,100,-22,-19,-18,0,0,40,37,0,-63,-3,-36
2022-02-10,0,-62,0,0,100,0,0,-63,0,-68,87,-11,0,100,-90,0,-30,-82,0,0,0,0,100,100,0,100,0,-55
2022-02-11,-14,100,0,68,-100,2,0,-78,-39,99,0,0,-16,43,-41,-100,-64,-4,0,0,100,0,0,-21,69,-100,75,-100
2022-02-14,-33,-16,0,100,100,-100,0,-49,-20,0,-48,0,-18,1,-59,0,4,0,100,0,-99,0,100,0,0,-43,-70,0
2022-02-15,-77,-87,0,13,0,66,0,81,0,100,-100,0,0,-40,73,0,71,0,100,0,0,100,-4,-100,-6,0,3,0
2022-02-16,-27,79,0,-27,28,56,5,8,0,-33,-57,0,0,87,30,69,-100,0,-100,0,83,-19,-90,-100,-63,28,-100,49
2022-02-17,100,0,0,-24,0,100,0,-100,0,100,0,41,0,100,0,0,0,0,76,81,-84,-81,0,0,0,-14,100,100
2022-02-18,-2,-41,0,37,-100,4,-5,44,0,3,21,-41,18,100,-100,100,-79,0,4,-81,16,51,7,6,22,-100,-100,-100
2022-02-22,90,69,0,100,100,22,11,100,0,8,-100,10,100,24,-3,-100,-100,100,-90,100,-16,-15,8,-45,-22,-100,6,23
2022-02-23,-100,-21,0,100,0,0,-11,-97,0,100,-35,0,-36,96,0,0,72,-81,100,0,0,-36,0,-100,100,-27,-62,0
2022-02-24,-100,-19,22,-100,-75,-26,24,-46,0,100,-100,8,-82,-100,0,-70,-39,-19,-45,100,100,100,-99,8,100,93,-7,24
2022-02-25,-96,-77,-22,-50,-12,-33,100,-28,0,100,-76,67,100,-32,100,100,-21,0,-100,-37,-22,-27,1,-11,60,-93,89,38
2022-02-28,100,-28,0,-33,0,-72,-93,100,100,-15,82,0,93,0,-63,-62,-7,0,0,-100,0,-11,65,0,0,0,0,0
2022-03-01,-17,67,14,-100,-100,-100,-31,-49,-100,29,-96,13,-100,-39,-7,-87,9,10,32,100,80,34,-100,0,-54,100,31,-67
2022-03-02,-100,0,-14,-84,-26,100,0,0,0,100,100,-32,2,0,100,0,100,-10,100,35,-50,0,100,0,-5,98,0,0
2022-03-03,-100,63,0,0,0,-17,0,100,0,100,-100,100,-27,100,0,1,-66,15,-100,0,0,0,-79,0,0,-34,-100,-63
2022-03-04,-35,-52,0,0,0,1,0,46,0,0,-22,0,-43,0,83,-100,0,-15,-6,-100,-54,100,90,0,100,-34,-20,0
2022-03-07,0,-51,44,0,0,-100,0,-100,33,-100,-41,100,51,100,8,-1,-31,12,-71,-98,-33,70,-100,0,58,44,0,-24
2022-03-08,0,10,59,0,67,-53,0,-89,26,-26,100,100,55,12,-100,0,61,-1,43,0,-21,-36,100,0,-100,67,100,48
2022-03-09,0,-37,-100,0,-30,-46,100,16,-49,-69,12,100,100,-21,-76,0,-99,-11,-43,48,89,47,-100,0,100,100,-8,78
2022-03-10,0,0,-3,0,-37,100,-100,31,-10,86,24,-40,54,-100,18,39,53,25,74,73,-63,-100,-100,0,-100,32,-92,40
2022-03-11,0,0,0,100,0,0,0,-55,0,0,100,-40,100,0,79,-39,-100,100,4,-40,0,-44,0,15,0,0,100,93
2022-03-14,0,0,0,-38,0,-99,0,0,0,88,0,0,-91,-100,-40,0,-30,0,0,0,-26,100,-17,0,0,0,-93,100
2022-03-15,61,0,100,0,0,-100,78,64,0,0,-64,-37,-24,-100,-70,70,0,-66,54,-81,0,62,88,18,0,3,-7,-61
2022-03-16,-61,66,-98,100,0,-100,-39,39,0,89,-100,-100,99,-85,-32,0,0,-59,-18,0,0,0,100,-33,100,98,0,0
2022-03-17,0,-14,-2,0,0,-74,-39,-35,48,44,-87,-100,-44,99,0,-3,58,32,0,43,0,0,0,0,-55,-100,0,-92
2022-03-18,0,100,0,62,0,100,9,-3,0,-11,0,47,-63,-32,0,-67,-58,-32,-66,-43,100,100,0,0,-100,-100,0,45
2022-03-21,0,0,0,100,0,-100,0,0,0,0,0,0,2,0,0,0,0,0,-48,0,0,-30,-34,0,77,-100,0,-100
2022-03-22,0,0,0,57,0,-100,0,0,0,-100,0,0,-26,-83,0,100,0,100,0,0,-20,100,0,0,100,-100,0,-63
2022-03-23,0,100,0,0,0,-100,-9,-56,-48,-100,0,-100,-70,100,0,-25,0,0,3,0,100,0,100,31,-12,-32,0,0
2022-03-24,100,23,0,-100,0,-29,0,1,0,0,0,-34,-9,-100,0,0,0,-9,0,0,-58,100,0,0,100,0,0,-31
2022-03-25,-100,-100,0,0,0,2,0,0,100,-7,0,64,0,-100,0,100,0,-41,100,0,0,-100,0,0,100,-11,0,0
2022-03-28,0,-80,0,0,0,100,0,-10,100,-4,0,0,0,-100,0,-14,0,0,-44,0,-47,58,-16,-31,100,100,0,-65
2022-03-29,0,-26,100,0,0,-100,0,0,0,0,0,-100,-76,0,0,11,0,-50,0,0,100,-8,-20,0,0,100,0,0
2022-03-30,0,0,0,0,0,-2,0,0,-5,-78,0,-26,-83,100,0,0,0,0,0,0,-92,7,0,0,100,90,0,0
2022-03-31,0,0,-1,-59,0,0,100,78,-1,0,0,0,0,-45,0,100,0,100,0,0,0,-48,0,0,-85,1,0,0
