date,AAPL,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-01-03,0,45,0,100,0,100,0,0,0,0,100,0,63,0,0,0,100,11,0,0,73,0,100,95,0,100,85,0
2022-01-04,100,-14,0,-100,100,-100,0,100,0,100,100,0,-44,0,0,33,-100,14,0,0,-73,0,-28,-95,17,-100,100,100
2022-01-05,18,-31,0,0,100,100,0,-100,100,-100,100,36,-19,69,0,-13,2,0,54,0,0,0,-7,27,-17,88,100,100
2022-01-06,82,40,0,37,-47,54,0,0,-100,0,-5,-36,75,100,0,-20,-2,-3,-18,4,19,0,100,25,98,-23,100,65
2022-01-07,100,36,97,14,100,100,36,0,18,100,-13,0,-75,-31,100,10,0,-22,-16,100,-6,0,100,57,-33,100,100,-53
2022-01-10,47,67,-97,77,-8,100,62,0,-18,23,-100,0,0,-97,-48,100,86,0,100,-4,-13,40,100,-43,100,70,74,49
2022-01-11,88,62,89,28,-35,100,87,0,0,100,-62,0,11,-41,-12,16,-3,0,-69,36,0,83,-100,46,-100,-100,100,100
2022-01-12,100,-100,-32,100,90,100,8,17,0,93,11,33,91,0,-40,-70,100,0,100,100,0,-100,2,-94,-31,54,-87,24
2022-01-13,100,-100,28,-83,-100,100,-100,40,91,100,100,100,47,39,0,100,24,0,100,-100,0,-23,-35,8,-34,-8,100,100
2022-01-14,-100,28,-85,100,-100,100,-93,-13,100,54,94,-100,100,99,0,48,100,0,-100,19,0,0,-100,100,0,-56,27,100
2022-01-18,0,-33,0,-42,100,0,0,-44,0,0,-9,0,-64,0,0,-27,-15,0,1,57,0,0,100,100,0,0,0,-100
2022-01-19,-69,0,100,-98,-100,-100,55,100,79,36,6,-33,-97,-64,0,65,42,66,-74,-100,0,0,41,-49,100,-23,26,-37
2022-01-20,-32,0,100,0,-72,-54,-55,0,-100,-14,90,96,0,0,0,0,0,-66,0,-91,36,0,100,100,0,0,-100,0
2022-01-21,-46,0,-31,-100,-28,-70,0,100,0,0,0,0,-55,-5,0,0,83,0,-47,95,100,100,100,-100,1,0,-100,-45
2022-01-24,-18,0,-70,-33,0,68,49,54,79,37,-42,3,-6,-69,72,45,-100,94,-31,-100,100,-2,-1,-45,100,63,-52,-78
2022-01-25,-100,66,70,0,0,100,100,-74,-35,9,-95,-90,-27,0,-72,-64,71,-94,0,-16,-61,100,47,-23,-100,-67,100,100
2022-01-26,-64,-57,-100,82,0,75,-82,27,6,100,-100,100,0,100,0,-100,100,37,55,0,-22,-100,37,-47,-100,-98,100,20
2022-01-27,0,-9,0,-58,45,0,-67,-100,-100,100,100,52,79,100,0,100,-84,-37,-55,56,-31,0,32,85,-1,0,0,0
2022-01-28,-206,0,-69,-24,-45,-773,0,-107,-120,-738,-275,-161,-79,-200,0,-223,-404,0,0,-56,-122,-98,-588,-147,0,0,-673,-445
2022-01-31,55,46,30,0,0,100,17,0,0,100,22,0,63,0,10,0,100,0,0,100,0,0,72,0,0,100,70,20
2022-02-01,100,-46,-30,0,0,100,-17,0,0,100,100,0,-43,88,-10,0,46,0,0,51,0,30,-43,13,0,-100,100,-20
2022-02-02,-100,5,0,47,78,100,100,34,0,65,100,43,30,15,70,0,-100,0,0,-100,0,-30,52,100,0,0,77,100
2022-02-03,82,-5,0,-47,14,100,-55,-27,0,34,61,100,100,-79,-9,97,5,0,57,100,100,9,100,-3,0,100,-26,-100
2022-02-04,99,100,0,100,-42,100,-45,100,17,80,100,-100,64,8,82,100,100,0,40,-36,-4,-9,55,50,51,100,-86,100
2022-02-07,100,80,0,2,-31,2,0,-40,-17,84,-36,-43,20,100,100,0,100,54,22,-55,-94,0,90,9,31,100,-3,97
