account_rewards,date
728.4079560508253,2022-01-03
-2748.79273459618,2022-01-04
-1499.362272018334,2022-01-05
2390.46401284053,2022-01-06
-2197.9064663810423,2022-01-07
3059.6272524413653,2022-01-10
1898.9796597558307,2022-01-11
-6758.4989344825735,2022-01-12
-6182.834362869267,2022-01-13
-16996.549425415113,2022-01-14
-9892.191967327031,2022-01-18
-9994.695294239093,2022-01-19
-10680.547452262836,2022-01-20
8238.803604213754,2022-01-21
-7965.450652042404,2022-01-24
-6055.015245902934,2022-01-25
-2733.9902088318486,2022-01-26
18326.533959014923,2022-01-27
-950.9001992912963,2022-01-28
373.5202049901709,2022-01-31
3217.5998991586966,2022-02-01
-7834.247059097281,2022-02-02
-1295.2041051292326,2022-02-03
-1388.2795571440365,2022-02-04
7994.245510086068,2022-02-07
6683.000424663536,2022-02-08
-14811.04317185597,2022-02-09
-14971.633897880558,2022-02-10
-3660.5323933105683,2022-02-11
10285.040939067956,2022-02-14
-2002.1142804565607,2022-02-15
-10745.234198932652,2022-02-16
-4086.233676887583,2022-02-17
-24476.004570411635,2022-02-18
-15297.09837436676,2022-02-22
4192.30246200948,2022-02-23
19318.843195617665,2022-02-24
-4171.091948818183,2022-02-25
-6536.067000999465,2022-02-28
15445.708863700856,2022-03-01
-3468.5156741103856,2022-03-02
-4073.558321090648,2022-03-03
-12594.125516982982,2022-03-04
-12647.52638179774,2022-03-07
11382.359134303988,2022-03-08
-2049.416617698618,2022-03-09
-3032.3459440192673,2022-03-10
5490.345170551329,2022-03-11
22521.997421253123,2022-03-14
5553.798121242551,2022-03-15
11268.867379730218,2022-03-16
5906.317887912737,2022-03-17
-13522.41554876708,2022-03-18
1784.7795905456878,2022-03-21
-19783.425514686503,2022-03-22
3221.8345070609357,2022-03-23
-75.40581838227808,2022-03-24
4761.173484176747,2022-03-25
9049.664733970654,2022-03-28
-11968.089468505932,2022-03-29
-15900.138522800407,2022-03-30
8203.15453036502,2022-03-31
