account_rewards,date
-1839.11113973998,2022-10-04
-8935.280817703228,2022-10-05
-13580.207257087692,2022-10-06
-2957.160344848642,2022-10-07
-2483.9981360777747,2022-10-10
210.6746063232422,2022-10-11
21691.60849761963,2022-10-12
-13225.452911376953,2022-10-13
13967.268390655518,2022-10-14
10675.64175415039,2022-10-17
-51.900753021240234,2022-10-18
-4078.4125747680664,2022-10-19
26425.70196914673,2022-10-20
7547.361141204834,2022-10-21
11076.754619598389,2022-10-24
7268.970890045166,2022-10-25
11260.135662078857,2022-10-26
19203.791709899902,2022-10-27
-2908.4557456970215,2022-10-28
132.76587295532227,2022-10-31
-17377.08455657959,2022-11-01
-3167.656391143799,2022-11-02
12862.953197479248,2022-11-03
7451.549057006836,2022-11-04
3832.3168029785156,2022-11-07
-23551.07595062256,2022-11-08
33863.12674331665,2022-11-09
9367.512050628662,2022-11-10
-236.2319450378418,2022-11-11
2602.768997192383,2022-11-14
-6407.493492126465,2022-11-15
-2827.842742919922,2022-11-16
2572.0954246520996,2022-11-17
4554.769676208496,2022-11-18
10488.833309173584,2022-11-21
5264.088787078857,2022-11-22
1808.6471328735352,2022-11-23
-11525.846141815186,2022-11-25
554.3477096557617,2022-11-28
17380.161533355713,2022-11-29
-5020.266174316406,2022-11-30
339.5950126647949,2022-12-01
-18096.03985977173,2022-12-02
-14250.412406921387,2022-12-05
-1030.7413330078125,2022-12-06
3253.3475074768066,2022-12-07
-4841.20361328125,2022-12-08
14360.300281524658,2022-12-09
6174.445728302002,2022-12-12
-5753.574787139893,2022-12-13
-20497.029384613037,2022-12-14
-5043.431594848633,2022-12-15
-5689.755599975586,2022-12-16
3271.1318550109863,2022-12-19
16578.156703948975,2022-12-20
-8257.07689666748,2022-12-21
3921.276382446289,2022-12-22
1143.7089042663574,2022-12-23
-10219.317268371582,2022-12-27
10036.773822784424,2022-12-28
-2674.6333236694336,2022-12-29
5429.540626525879,2022-12-30
