account_value,date,daily_return
813355.9601119169,2022-07-06,
820599.3341898741,2022-07-07,0.00890554005033728
819554.1606946654,2022-07-08,-0.0012736709032801219
815599.6179275946,2022-07-11,-0.004825236642955866
807578.1731868872,2022-07-12,-0.009835027585090805
802354.7105370001,2022-07-13,-0.006468058230541418
800454.0889917426,2022-07-14,-0.0023688046200731616
819033.7231590857,2022-07-15,0.02321136767599774
807594.1866056494,2022-07-18,-0.013967112989332064
821417.6389104895,2022-07-19,0.017116829880785334
816697.4480611853,2022-07-20,-0.005746395774462454
821784.2454778723,2022-07-21,0.00622849676922943
818038.7450468115,2022-07-22,-0.00455776616754533
823548.6324369482,2022-07-25,0.006735484625268517
821080.5205938391,2022-07-26,-0.0029969230059987417
832232.5611478857,2022-07-27,0.013582152145055204
840967.6754858069,2022-07-28,0.010496001653519604
848787.062254148,2022-07-29,0.009298082430842625
847938.291140344,2022-08-01,-0.0009999812103047567
844125.3326328062,2022-08-02,-0.004496740561639179
850751.2463870785,2022-08-03,0.007849443084010144
850246.9339725277,2022-08-04,-0.0005927848083591147
852512.1472771543,2022-08-05,0.0026641828557298908
851688.022002496,2022-08-08,-0.0009667020901583667
851149.9134362119,2022-08-09,-0.0006318141765325747
865149.9694359677,2022-08-10,0.016448402072010593
865929.9690697568,2022-08-11,0.0009015773696410267
877070.8999627011,2022-08-12,0.01286585669844964
883034.4560234922,2022-08-15,0.006799400209315687
891471.1748345273,2022-08-16,0.009554235119009657
888608.9309990781,2022-08-17,-0.0032106970098955134
889433.2514336484,2022-08-18,0.000927652655531519
882501.4519036191,2022-08-19,-0.007793501669581371
865547.407927789,2022-08-22,-0.01921134966889737
860236.9751427548,2022-08-23,-0.006135345951468918
859673.4415886777,2022-08-24,-0.000655091062533808
868300.1517937558,2022-08-25,0.010034868809179365
843222.7538750547,2022-08-26,-0.028881024455536086
837659.1822960752,2022-08-29,-0.006597985589705591
829168.0660088437,2022-08-30,-0.01013671964289431
822041.0175774472,2022-08-31,-0.008595420788094499
829458.3728020566,2022-09-01,0.009023096251897789
820554.0928795713,2022-09-02,-0.010735053396839112
817385.1583550351,2022-09-06,-0.0038619446932686152
829291.2122795957,2022-09-07,0.014566026557811584
833635.2430107968,2022-09-08,0.0052382452230019805
842668.3393395322,2022-09-09,0.010835789878689717
849250.1138146298,2022-09-12,0.00781063458519915
815775.1417076963,2022-09-13,-0.03941709463725829
818941.8367302793,2022-09-14,0.0038818233857360607
810118.6150048154,2022-09-15,-0.010773929636678004
809566.7007592099,2022-09-16,-0.0006812758469970648
815068.228026666,2022-09-19,0.006795644215969787
806520.7731774228,2022-09-20,-0.010486796755576067
791223.5702202695,2022-09-21,-0.018966905088987907
789115.9594262021,2022-09-22,-0.002663736108721615
781024.7071977399,2022-09-23,-0.010253565565123912
772860.7031579755,2022-09-26,-0.010452939535109285
766431.7084642194,2022-09-27,-0.008318439102268593
779246.9891801617,2022-09-28,0.016720707891407116
768778.5460458539,2022-09-29,-0.013434050153112054
757398.2049852154,2022-09-30,-0.014803146002411505
776112.3964410565,2022-10-03,0.024708523644053848
