account_value,date,daily_return
1000000.0,2022-01-03,
1000728.4079560508,2022-01-04,0.0007284079560507806
997979.6152214546,2022-01-05,-0.002746791949486571
996480.2529494363,2022-01-06,-0.0015023976934495087
998870.7169622768,2022-01-07,0.002398907560651642
996672.8104958958,2022-01-10,-0.0022003913309874834
999732.4377483372,2022-01-11,0.0030698411958474114
1001631.417408093,2022-01-12,0.0018994878910130186
994872.9184736104,2022-01-13,-0.006747490960269054
988690.0841107412,2022-01-14,-0.006214697624250642
971693.534685326,2022-01-18,-0.017190977939970264
961801.342717999,2022-01-19,-0.010180362032078949
951806.6474237599,2022-01-20,-0.010391642068199425
941126.0999714971,2022-01-21,-0.011221341520540662
949364.9035757108,2022-01-24,0.008754197343441295
941399.4529236684,2022-01-25,-0.00839029399764113
935344.4376777655,2022-01-26,-0.006431929854110341
932610.4474689336,2022-01-27,-0.002922976925612275
950936.9814279486,2022-01-28,0.019650792041577825
949986.0812286573,2022-01-31,-0.0009999613201112645
950359.6014336474,2022-02-01,0.0003931849238327789
953577.2013328061,2022-02-02,0.0033856656936015472
945742.9542737089,2022-02-03,-0.00821564006369635
944447.7501685796,2022-02-04,-0.0013695096529943163
943059.4706114356,2022-02-07,-0.001469937915460351
951053.7161215217,2022-02-08,0.008476926174022736
957736.7165461852,2022-02-09,0.007026943180367784
942925.6733743292,2022-02-10,-0.015464629178327804
927954.0394764487,2022-02-11,-0.015877851585378355
924293.5070831381,2022-02-14,-0.003944734585536014
934578.548022206,2022-02-15,0.011127462067244354
932576.4337417495,2022-02-16,-0.0021422643229865868
921831.1995428168,2022-02-17,-0.011522094929870663
917744.9658659293,2022-02-18,-0.004432735276170052
893268.9612955176,2022-02-22,-0.02666972359507036
877971.8629211509,2022-02-23,-0.017124851570104016
882164.1653831603,2022-02-24,0.004774984984212471
901483.008578778,2022-02-25,0.021899374236343805
897311.9166299598,2022-02-28,-0.004626922425741586
890775.8496289604,2022-03-01,-0.007284052378962014
906221.5584926612,2022-03-02,0.017339613405700893
902753.0428185508,2022-03-03,-0.00382744775999333
898679.4844974602,2022-03-04,-0.004512372850466684
886085.3589804772,2022-03-07,-0.014014034741235415
873437.8325986795,2022-03-08,-0.014273485340452807
884820.1917329835,2022-03-09,0.013031676336298315
882770.7751152848,2022-03-10,-0.002316195580578606
879738.4291712656,2022-03-11,-0.0034350320938334455
885228.7743418169,2022-03-14,0.006240883640519668
907750.77176307,2022-03-15,0.02544200784480677
913304.5698843126,2022-03-16,0.006118197080081433
924573.4372640428,2022-03-17,0.012338564539491559
930479.7551519555,2022-03-18,0.006388154417879877
916957.3396031884,2022-03-21,-0.014532734832644167
918742.1191937341,2022-03-22,0.0019464150767558586
898958.6936790476,2022-03-23,-0.0215331648581083
902180.5281861086,2022-03-24,0.0035839627890748016
902105.1223677263,2022-03-25,-8.358174004696739e-05
906866.295851903,2022-03-28,0.00527784774315454
915915.9605858737,2022-03-29,0.009979050688469382
903947.8711173678,2022-03-30,-0.013066798684074121
888047.7325945674,2022-03-31,-0.017589663110933906
896250.8871249324,2022-04-01,0.009237290101961282
