account_rewards,date
-5818.496937801363,2022-04-04
-7236.789097110741,2022-04-05
2372.8544026336167,2022-04-06
7996.647109504673,2022-04-07
-11836.952416107175,2022-04-08
-4062.053915008437,2022-04-11
10738.4909017639,2022-04-12
5622.446741912863,2022-04-13
651.6647550048074,2022-04-14
10078.581869995105,2022-04-18
9099.359901428223,2022-04-19
-6721.181922912598,2022-04-20
-27308.408798217773,2022-04-21
7012.989418029785,2022-04-22
-20307.22403717041,2022-04-25
8275.820991516113,2022-04-26
17238.11082458496,2022-04-27
-19868.74272918701,2022-04-28
-5737.502861022949,2022-04-29
-1075.8917083740234,2022-05-02
21774.377311706543,2022-05-03
-21837.849197387695,2022-05-04
-7166.786209106445,2022-05-05
-18593.01959991455,2022-05-06
-3567.6609802246094,2022-05-09
175.3241729736328,2022-05-10
-5870.553749084473,2022-05-11
10834.933135986328,2022-05-12
3152.175666809082,2022-05-13
-2632.744644165039,2022-05-16
-843.5372166670859,2022-05-17
-1129.0780639648438,2022-05-18
-232.26005325315055,2022-05-19
5379.258699035738,2022-05-20
-711.1476020812988,2022-05-23
4064.6760353089776,2022-05-24
11869.80611665349,2022-05-25
15608.445891189505,2022-05-26
-6944.078468521126,2022-05-27
-7268.239601142821,2022-05-31
7019.95732120506,2022-06-01
-7467.252140045166,2022-06-02
292.75777435302734,2022-06-03
7586.406169891357,2022-06-06
-4624.837413787842,2022-06-07
-16856.53302383423,2022-06-08
-18375.948154449463,2022-06-09
-26062.635066986084,2022-06-10
-5119.761615753174,2022-06-13
3572.3675804138184,2022-06-14
-18078.80846786499,2022-06-15
-3907.7619285583496,2022-06-16
22431.92937850952,2022-06-17
-2463.373622894287,2022-06-21
5254.199546813965,2022-06-22
14762.963069915771,2022-06-23
2071.886890411377,2022-06-24
-9804.563510894775,2022-06-27
-26.822154998779297,2022-06-28
-6113.572326660156,2022-06-29
7028.314960479736,2022-06-30
-4620.341136932373,2022-07-01
